"Device","% Alarms In 24H","Total Alarms"
"INBN4.3.A-D15 4.3.8.1.2 Lab Door","0.93","18"
"INBN4.3.B-D01 Reception Door","1.04","20"
"INBN5.1.B-D27 5.1B.10.00 Lab Door","1.24","24"
"INBN5.1.B-D36 5.1B.50.02 Lab Electrical Room Door","1.29","25"
"INBN5.1.B-D26 5.1B.10.00 Lab Door","1.4","27"
"INBN5.1.A-D02 Vindhya Rack Door2","1.5","29"
"INBN5.4.A-D02 Service Corridor Door","1.5","29"
"INBN5.1.B-D30 5.1B.50.00 Lab Door","1.81","35"
"INBN4.4.B-D24 Reception Door","2.07","40"
"INBN5.0.A-D05 Service Lift Door","18.18","351"
