"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Apr 01,2020","Melbourne Sales","7.55","53","4"
"Apr 01,2020","Sydney Sales","13.33","45","6"
"Apr 01,2020","Kanata (R&D)","5.88","51","3"
"Apr 01,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Apr 01,2020","Beijing Sales","4.08","49","2"
"Apr 01,2020","Beijing R&D","81.88","149","122"
"Apr 01,2020","Beijing CSS","2.99","67","2"
"Apr 01,2020","Guangzhou, China","57.89","19","11"
"Apr 01,2020","Shanghai","30.95","42","13"
"Apr 01,2020","Munich","30.77","13","4"
"Apr 01,2020","Madrid, Spain","2.5","40","1"
"Apr 01,2020","Paris, France","1.69","59","1"
"Apr 01,2020","America s Demo Pool- Sterling VA","50","4","2"
"Apr 01,2020","Hong Kong","8.33","72","6"
"Apr 01,2020","India-Bagmane Tridib, Bldg 3","4.35","483","21"
"Apr 01,2020","India-Electra, Bldg 4","3.49","1233","43"
"Apr 01,2020","India Elnath Bldg 5","5.91","1896","112"
"Apr 01,2020","India-Mumbai","4.17","24","1"
"Apr 01,2020","Milan","10.53","19","2"
"Apr 01,2020","Tokyo, Japan (Kyobashi)","8.57","35","3"
"Apr 01,2020","Tokyo, Japan (Shinjuku)","5.08","177","9"
"Apr 01,2020","Seoul, Korea","22.73","44","10"
"Apr 01,2020","Amsterdam","7.09","254","18"
"Apr 01,2020","Riyadh","1.1","91","1"
"Apr 01,2020","Singapore","8.82","68","6"
"Apr 01,2020","Taipei","20","25","5"
"Apr 01,2020","Addlestone","4.94","81","4"
"Apr 01,2020","Belfast","5.56","18","1"
"Apr 01,2020","Bridgewater","5.88","34","2"
"Apr 01,2020","Cupertino, CA (Mist)","3.6","111","4"
"Apr 01,2020","Dallas","5.88","17","1"
"Apr 01,2020","Durham, NC","8.33","48","4"
"Apr 01,2020","Herndon, Bldg 1","11.11","126","14"
"Apr 01,2020","Quincy, WA GEO DC Bldg A","50","32","16"
"Apr 01,2020","SVL Building 5","29.69","64","19"
"Apr 01,2020","SVL Building 8","62.22","45","28"
"Apr 01,2020","SVL Building A","5.95","1260","75"
"Apr 01,2020","SVL Building B","4.94","1335","66"
"Apr 01,2020","Westford NEIC R&D","6.86","452","31"
"Apr 02,2020","Westford NEIC R&D","9.29","452","42"
"Apr 02,2020","SVL Building B","5.99","1335","80"
"Apr 02,2020","SVL Building A","8.49","1260","107"
"Apr 02,2020","SVL Building 8","82.22","45","37"
"Apr 02,2020","SVL Building 5","21.88","64","14"
"Apr 02,2020","Quincy, WA GEO DC Bldg A","56.25","32","18"
"Apr 02,2020","Herndon, Bldg 1","7.94","126","10"
"Apr 02,2020","Frederick, MD (R&D)","33.33","3","1"
"Apr 02,2020","Durham, NC","6.25","48","3"
"Apr 02,2020","London, UK","5.56","18","1"
"Apr 02,2020","Dallas","5.88","17","1"
"Apr 02,2020","Cupertino, CA (Mist)","6.31","111","7"
"Apr 02,2020","Bridgewater","8.82","34","3"
"Apr 02,2020","Belfast","5.56","18","1"
"Apr 02,2020","Addlestone","3.7","81","3"
"Apr 02,2020","Taipei","8","25","2"
"Apr 02,2020","Singapore","8.82","68","6"
"Apr 02,2020","Riyadh","1.1","91","1"
"Apr 02,2020","Amsterdam","7.09","254","18"
"Apr 02,2020","Seoul, Korea","20.45","44","9"
"Apr 02,2020","Kuala Lumpur, Malaysia","3.45","29","1"
"Apr 02,2020","Tokyo, Japan (Shinjuku)","4.52","177","8"
"Apr 02,2020","Tokyo, Japan (Kyobashi)","14.29","35","5"
"Apr 02,2020","Milan","10.53","19","2"
"Apr 02,2020","India-Mumbai","4.17","24","1"
"Apr 02,2020","India Elnath Bldg 5","5.12","1896","97"
"Apr 02,2020","India-Electra, Bldg 4","3.24","1233","40"
"Apr 02,2020","India-Bagmane Tridib, Bldg 3","4.35","483","21"
"Apr 02,2020","Dublin","4.55","22","1"
"Apr 02,2020","Hong Kong","2.78","72","2"
"Apr 02,2020","America s Demo Pool- Sterling VA","50","4","2"
"Apr 02,2020","Madrid, Spain","2.5","40","1"
"Apr 02,2020","Munich","23.08","13","3"
"Apr 02,2020","Shanghai","38.1","42","16"
"Apr 02,2020","Guangzhou, China","31.58","19","6"
"Apr 02,2020","Beijing CSS","2.99","67","2"
"Apr 02,2020","Beijing R&D","81.21","149","121"
"Apr 02,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Apr 02,2020","Kanata (R&D)","7.84","51","4"
"Apr 02,2020","Brussels","50","2","1"
"Apr 02,2020","Sydney Sales","11.11","45","5"
"Apr 02,2020","Melbourne Sales","5.66","53","3"
"Apr 02,2020","Dubai","2.94","34","1"
"Apr 03,2020","Melbourne Sales","7.55","53","4"
"Apr 03,2020","Sydney Sales","8.89","45","4"
"Apr 03,2020","Brussels","50","2","1"
"Apr 03,2020","Kanata (R&D)","1.96","51","1"
"Apr 03,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Apr 03,2020","Beijing Sales","2.04","49","1"
"Apr 03,2020","Beijing R&D","75.17","149","112"
"Apr 03,2020","Beijing CSS","2.99","67","2"
"Apr 03,2020","Guangzhou, China","26.32","19","5"
"Apr 03,2020","Shanghai","16.67","42","7"
"Apr 03,2020","Munich","15.38","13","2"
