"Device","% Alarms In 24H","Total Alarms"
"INBN5.0.A-D05 Service Lift Door","17.87","353"
"INBN4.4.B-D24 Reception Door","2.08","41"
"INBN5.1.B-D30 5.1B.50.00 Lab Door","1.87","37"
"INBN5.4.A-D02 Service Corridor Door","1.57","31"
"INBN5.1.B-D26 5.1B.10.00 Lab Door","1.47","29"
"INBN5.1.A-D02 Vindhya Rack Door2","1.47","29"
"INBN5.1.B-D36 5.1B.50.02 Lab Electrical Room Door","1.27","25"
"INBN5.1.B-D27 5.1B.10.00 Lab Door","1.22","24"
"INBN4.3.B-D01 Reception Door","1.01","20"
"CNBJ1.15.D05 Reception Door","0.91","18"
